"title";"description";"address";"gisx";"gisy";"image";"link"
"Speel-Goed (IKG)";"";"Groenenborgerlaan 2061, 2610 Wilrijk";"4.4220838";"51.1775930";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8120877"
"BBsafe";"";"Veltwijcklaan 11, 2180 Ekeren";"4.4204447";"51.2772377";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8121820"
"\'t Speelhuisje (IKG)";"";"Sint-Bernardsesteenweg 460, 2660 Hoboken";"4.3748897";"51.1863056";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8109567"
"Calimera (IKG)";"";"Cyriel Buyssestraat 101, 2020 Antwerpen";"4.3856604";"51.1800783";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8116976"
"\'t Knuffelpaleis";"";"Montignystraat 31, 2018 Antwerpen";"4.3921079";"51.2041596";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8118101"
"Big Momma\'s Daycare";"";"Lamorinierestraat 159, 2018 Antwerpen";"4.4201279";"51.2029657";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8101708"
"Babymoon (IKG)";"";"Lange Scholiersstraat 74, 2060 Antwerpen";"4.4292826";"51.2247193";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8104504"
"Bumba-tjes (IKG)";"";"Gitschotellei 114, 2600 Berchem";"4.4408270";"51.2002294";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8109565"
"Achter de maan (IKG)";"";"Koninklijkelaan 32, 2600 Berchem";"4.4239568";"51.1884500";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8099130"
"Babyhemel (IKG)";"";"Van der Keilenstraat 37, 2140 Borgerhout";"4.4304744";"51.2171702";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8101701"
"Mirakeltje (IKG)";"";"Turnhoutsebaan 337, 2140 Borgerhout";"4.4419548";"51.2141705";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8101702"
"\'t Droomertje (IKG)";"";"Vosstraat 11, 2140 Borgerhout";"4.4536041";"51.1981240";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8092646"
"De Ster (IKG)";"";"Grotesteenweg (ingang via P. Van de Wouwerstraat 29) 571, 2600 Berchem";"4.4213079";"51.1932332";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8094273"
"Jumbo (IKG)";"";"Kapelstraat 79, 2660 Hoboken";"4.3470158";"51.1748430";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_kdv_jumbo.JPG";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8098429"
"Het Koetstuintje";"";"Grotesteenweg 91, 2600 Berchem";"4.4180496";"51.1960242";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8082618"
