"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"181";"2011251";"VALAAR";"Bosheidelaan";"rechtover 32";"2610";"Wilrijk";"6.  Uitgesteld";"ja";"2012";"2012";"4.3802978930000336";"51.17618991300003"
"182";"2011253";"BREDERODE";"Cuylitsstraat";"22a";"2018";"Antwerpen";"2.  In Aanleg";"ja";"2012";"2012";"4.3934665900000596";"51.204767708000077"
"183";"2011254";"BREDERODE";"Montignystraat";"43 - 51";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"2012";"2012";"4.3921539780000671";"51.203794623000078"
"184";"2011255";"BREDERODE";"Troonplaats";"rechtover 2";"2018";"Antwerpen";"3.  In Wacht";"ja";"2012";"2013";"4.3921952130000363";"51.203418213000077"
"185";"2011256";"BREDERODE";"Paleisstraat";"122";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"";"2012";"4.3972695050000539";"51.205640558000027"
"186";"2011258";"Frederik Van Eedenpein";"Frederik Van Eedenpein";"17";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2012";"2012";"4.3862651820000451";"51.220993370000031"
"187";"2011259";"August Vermeylenlaan";"August Vermeylenlaan";"21";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2012";"2012";"4.3788825820000739";"51.229754297000056"
"188";"2011260";"Esmoreitlaan";"Esmoreitlaan";"3";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2012";"2012";"4.3848665590000451";"51.233300997000072"
"189";"2011262";"Plantin en Moretuslei";"Plantin en Moretuslei";"331 - 335";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2012";"2012";"4.4369783820000634";"51.209099996000077"
"190";"2011243";"STUDENTENBUURT";"Academie";"tegenover 2";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"2050";"2050";"4.4059968030000505";"51.222983244000034"
"191";"2011265";"Professor Claraplein";"Professor Claraplein";"2";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"2012";"0";"4.4196551620000264";"51.20097652100003"
"192";"2011077";"STUDENTENBUURT";"Kleine Kauwenberg";"over nr 22";"2000";"Antwerpen";"3.  In Wacht";"ja";"2013";"2013";"4.411983770000063";"51.223987951000026"
"193";"2011275";"August Vermeylenlaan";"August Vermeylenlaan";"naast 1 - 3";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.3790336800000205";"51.232422932000077"
"194";"2011276";"Esmoreitlaan";"Esmoreitlaan";"7";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.3827983380000433";"51.232973320000042"
"195";"2011277";"Esmoreitlaan";"Esmoreitlaan";"29";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.3814366900000437";"51.232594254000048"
"196";"2011263";"LUCHTBAL";"Bristolstraat";"8";"2030";"Antwerpen";"4.  In Onderzoek";"nee";"2013";"2012";"4.4237263770000368";"51.255185657000027"
"197";"2011264";"LUCHTBAL";"Belfaststraat";"11";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2013";"2012";"4.4243967300000691";"51.255361074000064"
"198";"2011266";"De Coninckplein";"Van Arteveldestraat";"nr 64 - voor apotheek De Coninckplein 9-10";"2060";"Antwerpen";"4.  In Onderzoek";"ja";"2012";"2012";"4.4203891680000424";"51.221653543000059"
"199";"2011270";"Ellermanstraat";"Ellermanstraat";"toren 2 (over De Pretstraat)";"2060";"Antwerpen";"4.  In Onderzoek";"nee";"";"";"4.4172337890000222";"51.229927339000028"
"200";"2011222";"Uitbreidingsstraat";"Uitbreidingsstraat";"hoek De Villegasstraat";"2600";"Berchem";"6.  Uitgesteld";"Ja";"2050";"2050";"4.4249510250000412";"51.194999730000063"
"201";"2011224";"Van Couwervenstraat";"Van Couwervenstraat";"128";"2040";"BeZaLi";"6.  Uitgesteld";"Ja";"2050";"2050";"4.3255651070000454";"51.344504358000052"
"202";"2011225";"Luitenant_Naeyaertplein";"Luitenant Naeyaertplein";"op pleintje";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2050";"2050";"4.4401563520000309";"51.209937225000033"
"203";"2011226";"Joe_Englishstraat";"Joe Englishstraat";"42";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2050";"2050";"4.4475821790000509";"51.211114644000077"
"204";"2011227";"Luisbekelaar";"Luisbekelaar";"4";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2050";"2050";"4.4455861430000709";"51.205513014000076"
