"id";"thema";"type";"subtype";"naam";"straatnaam";"postcode";"district";"publiek_detail";"bereik";"grond_opp";"opp_ha";"lgst_niv";"hgst_niv";"x_coord";"y_coord";"ligging";"bezoekersaantal";"algemeen_uitzicht";"netheid";"hoogte_afsluiting";"materiaal_afsluiting";"aantal_vuilnisbakken";"aantal_zitbanken";"verlichting";"andere_objecten";"type_ondergrond";"quotering_algemeen";"point_lng";"point_lat"
"OPR0459";"groene open ruimte";"gebruiksgroen";"hondenweide";"CAMPINIASTRAAT";"CAMPINIASTRAAT";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"403.61314099999998";"0.040361309999999997";"buurt";"stadsdeel";"154548.82599998999";"214461.261";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"0";"geen";"";"gras/zand";"TE KLEIN";"4.4346021110000606";"51.240249121000033"
"OPR0461";"groene open ruimte";"gebruiksgroen";"hondenweide";"FRANS VAN DUNLAAN";"FRANS VAN DUNLAAN";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"900";"0.089999999999999997";"buurt";"stadsdeel";"154224.20699999999";"207064.34099999";"minder geschikt";"hoog";"goed";"goed";"1m04";"staalmat";"3";"1";"onrechtstreeks";"";"gras";"OK";"4.4291721700000721";"51.173389403000044"
"OPR0462";"groene open ruimte";"gebruiksgroen";"hondenweide";"MOERELEI";"MOERELEI";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"550.94616399999995";"0.055094610000000002";"buurt";"stadsdeel";"150942.2255";"205972.88259999";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"1";"geen";"";"gras";"OK";"4.3822408980000205";"51.163786779000077"
"OPR0463";"groene open ruimte";"gebruiksgroen";"hondenweide";"SINT-CAMILLUSSTRAAT";"SINT-CAMILLUSSTRAAT";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"138.07879";"0.01380787";"buurt";"stadsdeel";"151913.10249999";"206761.56649999999";"geschikt";"hoog";"goed";"goed";"0m95";"staalmat";"1";"1";"geen";"";"gras";"TE KLEIN";"4.396100772000068";"51.170862256000078"
"OPR0464";"groene open ruimte";"gebruiksgroen";"hondenweide";"MELOENSTRAAT";"MELOENSTRAAT";"2060";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"306.05232999999998";"0.030605230000000001";"buurt";"stadsdeel";"154483.016";"213032.68599999999";"ongeschikt";"hoog";"goed";"goed";"1m04";"staalmat";"1";"0";"onrechtstreeks";"";"gras";"TE KLEIN";"4.4328007400000615";"51.227205851000065"
"OPR0465";"groene open ruimte";"gebruiksgroen";"hondenweide";"KIELPARK";"KIELPARK";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"431.526769";"0.043152669999999997";"buurt";"stadsdeel";"151262.916";"209172.29800000001";"geschikt";"hoog";"goed";"goed";"1m60";"maasdraad met bovenbuis";"1";"1";"onrechtstreeks";"plaspaaltje";"gras";"OK";"4.3870021690000272";"51.191781502000026"
"OPR0468";"groene open ruimte";"gebruiksgroen";"hondenweide";"SPOORNOORD (oost)";"SPOORNOORD";"2060";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"606.30729499999995";"0.060630719999999999";"buurt";"stadsdeel";"154109.0068";"213284.53009998999";"ongeschikt";"hoog";"aanvaardbaar";"veel onkruid";"1m00";"maasdraad met bovenbuis";"1";"0";"geen";"";"onkruid";"VOLDOET NIET";"4.4308944970000539";"51.228902258000062"
"OPR0469";"groene open ruimte";"gebruiksgroen";"hondenweide";"KONING ALBERTPARK";"KONING ALBERTPARKWEG";"2018";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"1538.301117";"0.15383010999999999";"buurt";"stadsdeel";"153081.91510000001";"209964.6955";"geschikt";"hoog";"goed";"goed";"1m20";"staalmat";"1";"2";"onrechtstreeks";"";"gras";"OK";"4.4126293660000329";"51.20092500800007"
"OPR0470";"groene open ruimte";"gebruiksgroen";"hondenweide";"SPOORNOORD (west)";"SPOORNOORD";"2060";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"627.53517599999998";"0.062753509999999998";"buurt";"stadsdeel";"153760.78369998999";"213379.69819999";"geschikt";"hoog";"aanvaardbaar";"aanvaardbaar";"1m45";"staalmat";"1";"0";"onrechtstreeks";"";"gras";"OK";"4.4180024810000305";"51.230696013000056"
"OPR0471";"groene open ruimte";"gebruiksgroen";"hondenweide";"REINAARTLAAN";"REINAARTLAAN";"2050";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"1180.442055";"0.1180442";"buurt";"stadsdeel";"151189.06570000001";"213081.53150000001";"zeer geschikt";"gemiddeld";"goed";"goed";"1m05";"staalmat";"2";"1";"onrechtstreeks";"";"gras";"OK";"4.3857860510000251";"51.227670826000065"
